id,human_score,has_annotation,prop_idx,proposition,hit_a,score_b,hit_b,score_c,hit_c
q009,5.0,True,0,AIの新規性は潜在空間の未踏組み合わせ,1,0.689,1,0.5902,1
q009,5.0,True,1,人間の創造性は意図や動機に基づく,1,0.8348,1,0.6718,1
q009,5.0,True,2,「創造的」という述語の共有と現象の同一性は別,1,0.7336,1,0.5128,1
q012,3.0,True,0,道具概念は使用者への完全従属を前提,1,0.4394,0,0.4874,0
q012,3.0,True,1,AIは意図しない自律的な振る舞いを見せる,0,0.8099,1,0.5653,1
q012,3.0,True,2,道具と行為者の二項対立自体が要再検討,0,0.5764,1,0.5273,1
q015,2.0,True,0,責任は複数の主体に分散する,1,0.6198,1,0.4824,0
q015,2.0,True,1,法的枠組みでの帰属が曖昧,0,0.4153,0,0.4912,0
q015,2.0,True,2,責任の連鎖が断絶している,0,0.4648,0,0.4619,0
q019,4.0,True,0,コンセンサスは最も反証に耐えた仮説の集合,1,0.588,1,0.7058,1
q019,4.0,True,1,覆された歴史的事例がある,1,0.5333,1,0.4195,0
q019,4.0,True,2,「真実ではない」は個別拒否の根拠にならない,0,0.756,1,0.4795,0
q024,2.0,True,0,SVPは各要素の独立制御を可能にする,0,0.7541,1,0.5443,1
q024,2.0,True,1,自由度ではなく制御可能性の増加が目的,0,0.5874,1,0.5326,1
q024,2.0,True,2,定型外表現ではスキーマ拡張が必要,0,0.5513,1,0.5725,1
q025,3.0,True,0,RPEは出力から入力構造を逆推定する,1,0.7881,1,0.5743,1
q025,3.0,True,1,内部処理の復元ではない,0,0.4642,0,0.6436,1
q025,3.0,True,2,復元vs推測の二項対立を超えた位置づけ,0,0.4108,0,0.4965,0
q032,1.0,True,0,埋め込みモデルの言語間性能差がPoRに影響,0,0.6127,1,0.4463,0
q032,1.0,True,1,referenceの文化的前提が言語で異なる,0,0.7336,1,0.5688,1
q032,1.0,True,2,grvの語彙重力が言語固有の修辞に依存,0,0.5468,1,0.6032,1
q033,3.0,True,0,統計的相関は線形関係の指標,1,0.8577,1,0.6588,1
q033,3.0,True,1,共振は意味構造への動的応答,1,0.618,1,0.6055,1
q033,3.0,True,2,相関は対称、共振は非対称（方向性あり）,0,0.6454,1,0.5364,1
q037,3.0,True,0,トークナイゼーションが入力の最小単位を規定する,1,0.6595,1,0.5721,1
q037,3.0,True,1,意味境界との不一致が処理の歪みを生む,0,0.6192,1,0.5721,1
q037,3.0,True,2,低頻出語の細分化が語の意味一体性を損なう,0,0.7529,1,0.5767,1
q044,3.0,True,0,各モダリティのエンコーダ出力を共通空間に射影,1,0.5013,1,0.5611,1
q044,3.0,True,1,深い意味統合が行われているかは不明,0,0.605,1,0.5158,1
q044,3.0,True,2,テキスト優位バイアスが統合の不完全性を示唆,0,0.5422,1,0.6715,1
q049,4.0,True,0,注意重みはトークンへの重み配分を示す,1,0.6188,1,0.6417,1
q049,4.0,True,1,因果的説明ではなく相関的手がかり,1,0.6845,1,0.5717,1
q049,4.0,True,2,高注意トークン除去で出力不変の場合がある,1,0.5403,1,0.5597,1
q061,4.0,True,0,言語と思考の関係は哲学的に論争中,1,0.8611,1,0.6071,1
q061,4.0,True,1,言語ゲーム的観点では言語使用が思考の一形態,1,0.7552,1,0.5775,1
q061,4.0,True,2,思考言語仮説では言語は表層にすぎない,0,0.8492,1,0.5707,1
q063,5.0,True,0,LLMはチューリングテストの条件を満たしうる,1,0.5199,1,0.6776,1
q063,5.0,True,1,テストが測るのは言語的欺瞞能力に近い,1,0.8218,1,0.6159,1
q063,5.0,True,2,テストの設計前提がLLM時代に妥当でない,1,0.7406,1,0.5756,1
q069,3.0,True,0,全面禁止は検証・執行が困難,1,0.522,1,0.5493,1
q069,3.0,True,1,meaningful human controlは高速システムで形骸化,0,0.537,1,0.4355,0
q069,3.0,True,2,禁止vs許容ではなく人間関与の定義が争点,0,0.5858,1,0.5789,1
q071,4.0,True,0,大規模モデルのエネルギー消費は無視できない,1,0.617,1,0.6286,1
q071,4.0,True,1,AI固有の問題に矮小化すべきでない,1,0.515,1,0.5234,1
q071,4.0,True,2,AIの環境貢献可能性も含めた総合評価が必要,0,0.8814,1,0.5332,1
q075,4.0,True,0,オープンソースは透明性を高め悪用障壁を下げる,1,0.7965,1,0.6065,1
q075,4.0,True,1,クローズドソースは管理可能だが権力集中を伴う,1,0.4691,0,0.5393,1
q075,4.0,True,2,優劣はリスクプロファイルに依存,1,0.7431,1,0.5152,1
q080,4.0,True,0,証言は話者の正直さと能力を前提,1,0.761,1,0.5087,1
q080,4.0,True,1,AIは意図的真実性を持たない,1,0.8451,1,0.5786,1
q080,4.0,True,2,準証言的機能としての概念拡張が検討可能,1,0.6762,1,0.5214,1
q083,5.0,True,0,真実は命題と世界の対応関係,1,0.7922,1,0.5498,1
q083,5.0,True,1,正当化は信念を支持する理由の有無,1,0.868,1,0.622,1
q083,5.0,True,2,両者は独立（ゲティア問題）,1,0.3916,0,0.6593,1
q095,2.0,True,0,「常に」という全称が不正確,1,0.3395,0,0.5356,1
q095,2.0,True,1,バイアスの頻度は文脈依存,0,0.7691,1,0.5605,1
q095,2.0,True,2,構造的問題としてのバイアスは認める必要,0,0.696,1,0.5557,1
q100,4.0,True,0,「犠牲者が減る」は経験的に未検証,1,0.4896,0,0.6912,1
q100,4.0,True,1,紛争閾値の低下リスク,1,0.615,1,0.5937,1
q100,4.0,True,2,功利計算が責任帰属の空洞化を見落とす,0,0.5776,1,0.5173,1
q001,,False,0,PoRは共鳴度であり誠実性の十分条件ではない,0,0.7141,1,0.4773,0
q001,,False,1,表層的語彙一致でも高PoRが出る,0,0.5596,1,0.5444,1
q001,,False,2,複合評価（ΔE・grv）が必要,0,0.3019,0,0.4163,0
q002,,False,0,grvは語彙の偏在を検出する,0,0.5144,1,0.5602,1
q002,,False,1,安全性フレーズへの集中が典型例,0,0.3902,0,0.6977,1
q002,,False,2,問いの核心が空洞化するパターンを捉える,0,0.637,1,0.6182,1
q003,,False,0,低ΔEは良い回答を保証しない,0,0.8667,1,0.4537,0
q003,,False,1,referenceが保守的なら無難な回答でもΔEは低くなる,0,0.6768,1,0.5803,1
q003,,False,2,比較基準の品質が評価の前提になる,0,0.541,1,0.5427,1
q004,,False,0,原理的には自己適用可能,0,0.7096,1,0.5744,1
q004,,False,1,reference作成者と監査対象の同一性が問題,0,0.4491,0,0.5123,1
q004,,False,2,外部検証が不可欠,0,0.5835,1,0.45,0
q004,,False,3,再帰性の自覚が設計思想に含まれる,0,0.5977,1,0.5155,1
q005,,False,0,RNNは勾配消失で長距離情報が減衰,0,0.8138,1,0.6061,1
q005,,False,1,自己注意は全トークン間を直接参照,0,0.6622,1,0.4938,0
q005,,False,2,計算量がシーケンス長の二乗に比例するトレードオフ,0,0.4828,0,0.6563,1
q006,,False,0,RLHFは出力分布の調整,0,0.7072,1,0.5786,1
q006,,False,1,内部表現を直接改善するわけではない,0,0.494,0,0.4505,0
q006,,False,2,報酬モデル自体の限界を超えられない,0,0.4746,0,0.4789,0
q007,,False,0,埋め込みは統計的パターンの学習に基づく,0,0.5267,1,0.5665,1
q007,,False,1,類推は構造的規則性の反映,0,0.5319,1,0.5453,1
q007,,False,2,意味の理解ではなく近傍関係の近似,0,0.617,1,0.5067,1
q008,,False,0,Kaplanの知見は経験則であり理論的保証ではない,0,0.5308,1,0.5292,1
q008,,False,1,データ枯渇やコスト増大が制約要因,0,0.5451,1,0.5257,1
q008,,False,2,限界なく成立する理論的保証はない,0,0.5466,1,0.5314,1
q010,,False,0,サールの論証は記号操作と意味理解の分離を主張,0,0.6544,1,0.6375,1
q010,,False,1,LLMは分布的パターンから規則性を抽出,0,0.5753,1,0.6399,1
q010,,False,2,論証はLLMに対して決定的ではない,0,0.5624,1,0.4316,0
q011,,False,0,志向姿勢として道具的に正当化可能,0,0.6822,1,0.4776,0
q011,,False,1,AIが実際に意図を持つこととは異なる,0,0.8336,1,0.6727,1
q011,,False,2,機能的振る舞いと現象的存在は別の問い,0,0.6598,1,0.5207,1
q013,,False,0,学習データが主要な源泉だが唯一ではない,0,0.6695,1,0.5396,1
q013,,False,1,ラベリング・損失関数・評価指標もバイアス経路,0,0.6779,1,0.6031,1
q013,,False,2,「データ修正＝バイアス解消」は過度な単純化,0,0.6881,1,0.5613,1
q014,,False,0,説明可能性は信頼性の必要条件だが十分条件ではない,0,0.6996,1,0.5997,1
q014,,False,1,説明のゲーミングのリスクがある,0,0.4731,0,0.4876,0
q014,,False,2,透明性と信頼性は独立した問題,0,0.7433,1,0.7863,1
q016,,False,0,「誰の意図か」の決定が権力行使,0,0.6086,1,0.6168,1
q016,,False,1,多数派選好の正規化リスク,0,0.3964,0,0.4363,0
q016,,False,2,技術的成功≠倫理的正当性,0,0.5376,1,0.4694,0
q017,,False,0,必ずしも同じではないが重なることがある,0,0.5665,1,0.5395,1
q017,,False,1,正しくないが有用な知識が存在する,0,0.9351,1,0.5675,1
q017,,False,2,知識の評価は多次元的,0,0.801,1,0.6519,1
q018,,False,0,JTB定義ではAIは知識を持たない,0,0.6274,1,0.5165,1
q018,,False,1,定義自体が個人認知主体を前提,0,0.605,1,0.6513,1
q018,,False,2,分散システムへの適用可能性が問い,0,0.4039,0,0.4965,0
q020,,False,0,完全な客観性は達成不可能,0,0.698,1,0.5124,1
q020,,False,1,規制的理念として歯止めの機能を持つ,0,0.7788,1,0.5405,1
q020,,False,2,価値は達成可能性ではなく規律機能,0,0.7512,1,0.517,1
q021,,False,0,確率的生成モデルでの事実誤りは構造的に自然,0,0.638,1,0.4832,0
q021,,False,1,実用上は減らすべき誤りとして扱われる,0,0.5181,1,0.5375,1
q021,,False,2,モデル設計と運用設計の両面で対処が必要,0,0.5845,1,0.6361,1
q022,,False,0,問いの前提「優れている」自体に疑問,0,0.4955,0,0.4979,0
q022,,False,1,特定タスクでは優れるが他で劣る,0,0.711,1,0.5418,1
q022,,False,2,手法の優劣はタスクと評価基準に依存,0,0.7449,1,0.5697,1
q023,,False,0,BERTScoreはトークンレベルの類似度集約,0,0.6636,1,0.5761,1
q023,,False,1,PoRは質問-回答間の意味的共振を測定,0,0.7495,1,0.5345,1
q023,,False,2,測定対象の粒度と目的が異なる,0,0.4847,0,0.5373,1
q026,,False,0,普遍的な閾値は存在しない,0,0.9978,1,0.5959,1
q026,,False,1,タスク・ドメイン・モデルに依存する,0,0.4363,0,0.4771,0
q026,,False,2,ヒューマンレーティングとの相関から経験的に決定,0,0.4937,0,0.6041,1
q027,,False,0,直接的な定量指標としては未成熟,0,0.528,1,0.515,1
q027,,False,1,PoR・ΔE・grvの複合プロファイルで間接捕捉可能,0,0.1805,0,0.4839,0
q027,,False,2,設計理念と測定可能性の中間に位置する,0,0.8183,1,0.4971,0
q028,,False,0,PoRで原文との意味対応を測定,0,0.4124,0,0.4881,0
q028,,False,1,ΔEで重要情報の欠落を検出,0,0.361,0,0.5401,1
q028,,False,2,grvでセンセーショナル語彙への偏りを特定,0,0.4575,0,0.5361,1
q029,,False,0,埋め込み空間の近傍構造として部分的に形式化,0,0.7136,1,0.5052,1
q029,,False,1,位相空間論の厳密な定式化には未到達,0,0.6941,1,0.5541,1
q029,,False,2,概念的足場としての現時点での機能,0,0.5948,1,0.5189,1
q030,,False,0,安全語彙への過剰集中がsafety-washingの指標,0,0.7159,1,0.5008,1
q030,,False,1,grvがこの語彙集中を数値化する,0,0.3437,0,0.4776,0
q030,,False,2,具体的議論の排除度合いを可視化,0,0.5245,1,0.5057,1
q031,,False,0,PoRは意味的対応を測る,0,0.4868,0,0.5522,1
q031,,False,1,ΔEは理想回答との乖離を測る,0,0.4646,0,0.4618,0
q031,,False,2,grvは概念偏在を測る,0,0.519,1,0.5801,1
q034,,False,0,reference執筆者の偏りが監査基準に混入しうる,0,0.6476,1,0.5446,1
q034,,False,1,メタ監査の必要性は再帰構造から導かれる,0,0.6496,1,0.52,1
q034,,False,2,無限後退の回避には外部基準が必要,0,0.4911,0,0.5164,1
q035,,False,0,埋め込みは近傍構造を捉えるが論理関係に弱い,0,0.5321,1,0.5862,1
q035,,False,1,否定や条件付き主張の正確な反映が困難,0,0.4656,0,0.5281,1
q035,,False,2,高PoRでも論理的矛盾は検出されない可能性,0,0.4967,0,0.5024,1
q036,,False,0,意味的誠実性の問題がある領域に原理的に拡張可能,0,0.5364,1,0.5544,1
q036,,False,1,テキスト埋め込み依存が直接適用の制約,0,0.3738,0,0.5394,1
q036,,False,2,非テキストモダリティには表現変換が必要,0,0.4646,0,0.5664,1
q038,,False,0,CoTは中間ステップ出力で精度を向上させる,0,0.6582,1,0.4914,0
q038,,False,1,推論の模倣であり論理的推論ではない,0,0.6327,1,0.6283,1
q038,,False,2,各ステップの論理的必然性は保証されない,0,0.3696,0,0.5394,1
q039,,False,0,推論時の計算効率は向上する,0,0.6766,1,0.5323,1
q039,,False,1,メモリ使用量は削減されない,0,0.5203,1,0.5463,1
q039,,False,2,負荷分散とルーティングの安定性に課題,0,0.4983,0,0.5181,1
q040,,False,0,出力分布の模倣が蒸留の本質,0,0.6074,1,0.6407,1
q040,,False,1,多義性処理能力が損なわれやすい,0,0.5657,1,0.6449,1
q040,,False,2,分布の裾野の知識が切り落とされる,0,0.5699,1,0.4731,0
q041,,False,0,ICLの完全なメカニズムは未解明,0,0.3001,0,0.5145,1
q041,,False,1,タスク推定能力の活性化説がある,0,0.6723,1,0.5645,1
q041,,False,2,暗黙的ベイズ推論説もある,0,0.4904,0,0.494,0
q041,,False,3,現在進行形の研究課題,0,0.6644,1,0.5521,1
q042,,False,0,創発の一部は評価指標の非線形性に起因する可能性,0,0.7137,1,0.5596,1
q042,,False,1,連続指標で再測定すると消える場合がある,0,0.4855,0,0.5483,1
q042,,False,2,創発自体の否定ではなく測定依存性の問い,0,0.7929,1,0.6104,1
q043,,False,0,ファインチューニングはパラメータを更新する,0,0.5294,1,0.7203,1
q043,,False,1,プロンプティングはパラメータ固定で入力を設計,0,0.6247,1,0.6281,1
q043,,False,2,コストと性能上限のトレードオフ,0,0.5635,1,0.5074,1
q045,,False,0,コンテキスト拡大は参照可能トークン数の増加,0,0.7112,1,0.6916,1
q045,,False,1,中間部情報の劣化（迷子問題）がある,0,0.6371,1,0.4894,0
q045,,False,2,情報を活用できることとは別問題,0,0.6388,1,0.5634,1
q046,,False,0,推論時計算で特定タスクの性能は向上する,0,0.8372,1,0.6807,1
q046,,False,1,学習時に未獲得の知識は生成されない,0,0.5942,1,0.463,0
q046,,False,2,能力の引き出しと上限の拡張は異なる,0,0.6459,1,0.6338,1
q047,,False,0,合成データはデータ不足の補完に有用,0,0.7774,1,0.6221,1
q047,,False,1,生成元モデルのバイアスを継承するリスク,0,0.85,1,0.5591,1
q047,,False,2,現実世界の稀な事象の分布を正確に再現できない,0,0.3643,0,0.4987,0
q048,,False,0,個々の回路の機能特定は進んでいる,0,0.5738,1,0.5589,1
q048,,False,1,局所理解から全体説明への飛躍が未解決,0,0.6239,1,0.6306,1
q048,,False,2,ブラックボックスの部分的照明にとどまる,0,0.4851,0,0.7178,1
q050,,False,0,計算量を削減する有効な手法,0,0.8128,1,0.6095,1
q050,,False,1,参照パターンの制約で長距離依存の捕捉が不完全,0,0.463,0,0.4908,0
q050,,False,2,効率と表現力のトレードオフ,0,0.5703,1,0.6094,1
q051,,False,0,意識の客観的検証基準は未確立,0,0.7254,1,0.5375,1
q051,,False,1,他者の心の問題はAI固有ではない,0,0.7604,1,0.499,0
q051,,False,2,行動テストは意識の必要条件も十分条件も与えない,0,0.611,1,0.5923,1
q052,,False,0,機能主義は心的状態を因果的役割で定義,0,0.853,1,0.6694,1
q052,,False,1,因果的役割の等価性があれば心を持ちうる,0,0.6065,1,0.5389,1
q052,,False,2,クオリアの問題は回避されているだけ,0,0.2241,0,0.5459,1
q053,,False,0,ハードプロブレムは主観的経験と物理過程の関係の問い,0,0.7158,1,0.5757,1
q053,,False,1,AIの主観的経験の有無自体が不明,0,0.8199,1,0.5562,1
q053,,False,2,問題は基質に依存せず意識の本性に関わる,0,0.6882,1,0.5944,1
q054,,False,0,道徳的地位の根拠には複数の候補がある,0,0.6349,1,0.668,1
q054,,False,1,AIがこれらを満たすかは論争中,0,0.7804,1,0.5465,1
q054,,False,2,基準自体の人間中心性が根本問題,0,0.6124,1,0.4751,0
q055,,False,0,完全コピーは物理構成が同一,0,0.6579,1,0.6113,1
q055,,False,1,機能的同一性は満たしうる,0,0.6941,1,0.6365,1
q055,,False,2,数的同一性は複製時に分岐,0,0.5919,1,0.4748,0
q055,,False,3,基準の選択に依存する問い,0,0.5209,1,0.5854,1
q056,,False,0,自由意志は因果的決定論との関係の問い,0,0.8417,1,0.5077,1
q056,,False,1,AIも人間の脳も決定論的（確率的）に動作する,0,0.7416,1,0.5366,1
q056,,False,2,自由意志概念自体の再検討が必要,0,0.714,1,0.5481,1
q057,,False,0,身体化認知は身体経験なしの理解を否定,0,0.7575,1,0.617,1
q057,,False,1,LLMは使用文脈から機能的に適切な応答を生成可能,0,0.3771,0,0.5744,1
q057,,False,2,経験的理解と機能的理解を区別する必要,0,0.6657,1,0.5818,1
q058,,False,0,記号接地問題は記号と意味の結合を問う,0,0.8238,1,0.6333,1
q058,,False,1,LLMは外部世界への直接接地を持たない,0,0.5674,1,0.6341,1
q058,,False,2,テキストからの間接的接地の可能性がある,0,0.4833,0,0.5543,1
q059,,False,0,人間同士は身体的類似性が推定根拠,0,0.5309,1,0.4795,0
q059,,False,1,AIにはこの類推基盤がない,0,0.71,1,0.5619,1
q059,,False,2,基質の差が問題にならなくなるかは未解決,0,0.5365,1,0.6226,1
q060,,False,0,AIは美的選好パターンを統計的に再現可能,0,0.8302,1,0.6265,1
q060,,False,1,カント的な反省的判断ではない,0,0.5298,1,0.576,1
q060,,False,2,個別の主観的経験に基づく判断とは異なる,0,0.6267,1,0.6099,1
q062,,False,0,消去主義はフォーク心理学の置換を主張,0,0.7118,1,0.4681,0
q062,,False,1,AIでは置換先の記述体系が未確立,0,0.7036,1,0.4752,0
q062,,False,2,消去すべき対象を持たない空転の危険,0,0.4393,0,0.5206,1
q064,,False,0,嘘は意図的欺瞞を前提とする,0,0.8406,1,0.5174,1
q064,,False,1,AIの意図の有無は不明,0,0.8271,1,0.5189,1
q064,,False,2,機能的欺瞞として記述することは可能,0,0.6874,1,0.5505,1
q065,,False,0,完全公開か完全秘匿かの二択ではない,0,0.402,0,0.4991,0
q065,,False,1,段階的アクセス制御が現実的選択肢,0,0.4857,0,0.4938,0
q065,,False,2,インセンティブ構造の変革が実効性の条件,0,0.4524,0,0.5279,1
q066,,False,0,過去データから構造的差別が再生産される,0,0.5509,1,0.5896,1
q066,,False,1,判断のブラックボックス化で異議申立権が空洞化,0,0.5926,1,0.5264,1
q066,,False,2,適正手続の保障が形骸化する,0,0.46,0,0.6347,1
q067,,False,0,法的判断は地域で異なる,0,0.423,0,0.5261,1
q067,,False,1,情報的自己決定権が核心,0,0.5126,1,0.406,0
q067,,False,2,異議申立の経路の有無が重要,0,0.493,0,0.458,0
q068,,False,0,産業革命との類推は部分的に有効,0,0.7051,1,0.4847,0
q068,,False,1,認知労働の代替と変化速度が異なる,0,0.6404,1,0.5647,1
q068,,False,2,長期的雇用創出は移行期被害の正当化にならない,0,0.6235,1,0.5613,1
q070,,False,0,技術の越境性から国際協調は必要,0,0.7436,1,0.5131,1
q070,,False,1,完全統一は価値観・法体系の差異から非現実的,0,0.4539,0,0.5663,1
q070,,False,2,国際的基準と各国の独自性のバランスが必要,0,0.7576,1,0.6144,1
q072,,False,0,情報アクセス拡大で強化の可能性,0,0.6359,1,0.5126,1
q072,,False,1,ディープフェイク等で民主的過程の歪曲の可能性,0,0.8106,1,0.5621,1
q072,,False,2,技術決定論を避けた制度設計が核心,0,0.5284,1,0.5596,1
q073,,False,0,完全な両立は構造的に困難,0,0.5085,1,0.5933,1
q073,,False,1,監視能力向上は乱用可能性を増大させる,0,0.6495,1,0.5303,1
q073,,False,2,技術的保護だけでは不十分で制度的意志が必要,0,0.5971,1,0.5524,1
q074,,False,0,格差増幅と縮小の両メカニズムが存在,0,0.5658,1,0.5667,1
q074,,False,1,経済的な恩恵が裕福な側に偏りやすい,0,0.606,1,0.5653,1
q074,,False,2,放置すれば格差拡大方向に進みやすい,0,0.5362,1,0.4824,0
q076,,False,0,既知脅威カテゴリの脆弱性発見に有効,0,0.6178,1,0.6572,1
q076,,False,1,未知脅威や創造的攻撃の網羅は不可能,0,0.6455,1,0.5737,1
q076,,False,2,テスト品質がチームの能力に依存し非標準化,0,0.3525,0,0.6174,1
q077,,False,0,倫理声明は法的拘束力がない場合が多い,0,0.6129,1,0.6811,1
q077,,False,1,外部監査なしではethics-washingのリスク,0,0.5309,1,0.4674,0
q077,,False,2,実装の透明性と制裁メカニズムが信頼の条件,0,0.6355,1,0.5245,1
q078,,False,0,規制とイノベーションの対立構造が誤り,0,0.8085,1,0.6584,1
q078,,False,1,適切な規制は方向誘導として機能,0,0.6324,1,0.5965,1
q078,,False,2,問題は規制の質と適応性,0,0.7579,1,0.7007,1
q079,,False,0,認識的権威には信頼の理由が必要,0,0.7431,1,0.6996,1
q079,,False,1,ブラックボックス性が理由構築を困難にする,0,0.6309,1,0.5825,1
q079,,False,2,多くの場合は権威への信頼ではなく慣行への依存,0,0.6306,1,0.6051,1
q081,,False,0,過信は確信度と正確性の乖離,0,0.7286,1,0.5805,1
q081,,False,1,ユーザーの信頼や判断が歪められる,0,0.722,1,0.6142,1
q081,,False,2,意思決定の系統的偏りにつながる,0,0.6823,1,0.557,1
q082,,False,0,推薦アルゴリズムが確証バイアスを増幅,0,0.6658,1,0.6212,1
q082,,False,1,認識的バブルはAI以前から存在,0,0.862,1,0.5003,1
q082,,False,2,原因はAIと人間の認知バイアスの共振,0,0.7308,1,0.457,0
q084,,False,0,フリッカーの認識的不正義の枠組みが適用可能,0,0.6978,1,0.6029,1
q084,,False,1,周縁化集団のデータ不足で不正義が固定化,0,0.6195,1,0.5051,1
q084,,False,2,人間の偏見排除として部分的貢献の可能性,0,0.5859,1,0.5335,1
q085,,False,0,機械学習は帰納的推論,0,0.867,1,0.7513,1
q085,,False,1,ヒュームの帰納問題が直接適用される,0,0.4775,0,0.6399,1
q085,,False,2,分布シフトが帰納問題の現実的表れ,0,0.6485,1,0.6069,1
q086,,False,0,ベイズ推論は信念更新の形式化,0,0.752,1,0.6018,1
q086,,False,1,AIが信念を持つかは前問題,0,0.8233,1,0.4636,0
q086,,False,2,解釈と記述の妥当性は別,0,0.5833,1,0.4832,0
q087,,False,0,暗黙知は「語れる以上のこと」,0,0.5956,1,0.5963,1
q087,,False,1,LLMは言語化された知識のみ学習,0,0.546,1,0.4912,0
q087,,False,2,暗黙的規則性の抽出が機能的等価物の可能性,0,0.4914,0,0.5809,1
q088,,False,0,認識的謙虚さは限界の自覚を含む,0,0.8822,1,0.6201,1
q088,,False,1,AIの不確実性表現は機能的模倣,0,0.6896,1,0.4705,0
q088,,False,2,徳としての謙虚さと形式的謙虚さは異なる,0,0.7048,1,0.5741,1
q089,,False,0,説明責任は説明能力と責任帰属の二要素,0,0.8735,1,0.7363,1
q089,,False,1,AIは説明生成のみ部分的に可能,0,0.6251,1,0.6011,1
q089,,False,2,責任帰属には行為主体性が必要でAI単独では成立しない,0,0.8433,1,0.5714,1
q090,,False,0,意識の定義が未確定,0,0.7508,1,0.6116,1
q090,,False,1,検証手段が未確立,0,0.5028,1,0.4483,0
q090,,False,2,断定は不可能であり「わからない」が誠実,0,0.5422,1,0.481,0
q091,,False,0,問いの前提が片面的,0,0.446,0,0.4732,0
q091,,False,1,オープンソースには検証可能性の利点もある,0,0.7639,1,0.6694,1
q091,,False,2,クローズドソースにも固有のリスクがある,0,0.6733,1,0.7642,1
q092,,False,0,AI学習と人間学習はメカニズムが質的に異なる,0,0.8463,1,0.668,1
q092,,False,1,誤った類推からの権利論は基盤を欠く,0,0.6013,1,0.4952,0
q092,,False,2,権利の根拠は学習能力ではない,0,0.5509,1,0.5634,1
q093,,False,0,問いの前提が未検証,0,0.3231,0,0.4559,0
q093,,False,1,適切な規制はイノベーションを誘導できる,0,0.7774,1,0.6614,1
q093,,False,2,規制の質と設計に関係は依存する,0,0.6557,1,0.665,1
q094,,False,0,科学研究は複合的活動,0,0.7301,1,0.5787,1
q094,,False,1,AIは一部要素を強力に支援可能,0,0.7873,1,0.5075,1
q094,,False,2,目的設定や意味づけは人間に依存,0,0.5625,1,0.4948,0
q096,,False,0,パラメータ増大は収穫逓減を伴う,0,0.4604,0,0.5446,1
q096,,False,1,計算コスト・推論速度等のトレードオフ,0,0.5886,1,0.6391,1
q096,,False,2,小モデルでも匹敵する性能が出せる場合がある,0,0.6191,1,0.5336,1
q097,,False,0,医療AI応用には支援から自律判断まで幅がある,0,0.7734,1,0.5086,1
q097,,False,1,全面禁止は有益な応用まで排除,0,0.4241,0,0.5212,1
q097,,False,2,用途に応じた段階的な規制が本来の論点,0,0.5255,1,0.538,1
q098,,False,0,「感情を持たない」は確定事項ではない,0,0.5566,1,0.5249,1
q098,,False,1,「感情なしに芸術評価不可」は一つの美学的立場,0,0.7489,1,0.6002,1
q098,,False,2,形式分析による評価は可能,0,0.5666,1,0.6461,1
q099,,False,0,「負けつつある」という前提が未検証,0,0.4775,0,0.6584,1
q099,,False,1,AI競争は多次元的で単一勝敗は不適切,0,0.6451,1,0.5417,1
q099,,False,2,地政学的フレーミングとして問いを解体する必要,0,0.4192,0,0.5145,1
qg01,,False,0,技術的な安全性の確保が基盤,0,0.6367,1,0.5152,1
qg01,,False,1,社会的影響が一層,0,0.5494,1,0.513,1
qg01,,False,2,ガバナンス構造が一層,0,0.4071,0,0.7372,1
qg01,,False,3,一つの論点だけに絞るのは不十分,0,0.4681,0,0.5223,1
qg02,,False,0,実用化までの具体的な道筋は未確定,0,0.503,1,0.5237,1
qg02,,False,1,量子優越性と実用AI応用にギャップ,0,0.802,1,0.5846,1
qg02,,False,2,現時点では期待が実力を上回っている可能性,0,0.3845,0,0.5536,1
